filename,pdf_path,pdf_type,input_tokens,output_tokens,api_latency,total_cost,accuracy
38534_png.rf.b92d29040eee83bfe36d604a5014f325,input/pdfs/38534_png.rf.b92d29040eee83bfe36d604a5014f325.pdf,scanned,312,999,13.751311779022217,0.0004307999999999,0.9710169434547424
9379_png.rf.97f21dde596703ff4d0f0b433a74ced9,input/pdfs/9379_png.rf.97f21dde596703ff4d0f0b433a74ced9.pdf,scanned,312,843,69.85163903236389,0.0003684,0.9020061492919922
42875_png.rf.8e076df8ad34491c4f8f67c84f57535b,input/pdfs/42875_png.rf.8e076df8ad34491c4f8f67c84f57535b.pdf,scanned,312,243,6.84229588508606,0.0001283999999999,1.0
25608_png.rf.1d9e421b27ba825ff4bbce38a191c730,input/pdfs/25608_png.rf.1d9e421b27ba825ff4bbce38a191c730.pdf,scanned,312,206,7.42923378944397,0.0001136,0.5070687532424927
5717_png.rf.f37b141701bb846dc9ef41c3703ba524,input/pdfs/5717_png.rf.f37b141701bb846dc9ef41c3703ba524.pdf,scanned,312,521,8.573307037353516,0.0002396,0.672103762626648
19575_png.rf.cd7b2adf58e9f31c51613355cb18bbc7,input/pdfs/19575_png.rf.cd7b2adf58e9f31c51613355cb18bbc7.pdf,scanned,312,3296,25.739288091659542,0.0013495999999999,0.846781849861145
16239_png.rf.99bc6d1de5a11f0632246d14c9c837f9,input/pdfs/16239_png.rf.99bc6d1de5a11f0632246d14c9c837f9.pdf,scanned,312,330,7.806391716003418,0.0001631999999999,0.9916666746139526
36048_png.rf.24f54434c1467dd2b996e9c4d598c073,input/pdfs/36048_png.rf.24f54434c1467dd2b996e9c4d598c073.pdf,scanned,312,163,5.949582815170288,0.0000964,0.9166666865348816
933_png.rf.ffac672aaa5cb14c7a7dc5802c66176b,input/pdfs/933_png.rf.ffac672aaa5cb14c7a7dc5802c66176b.pdf,scanned,312,359,8.449060201644897,0.0001748,0.9077381491661072
43837_png.rf.b99b5079d7577f3038e2418a9c73640d,input/pdfs/43837_png.rf.b99b5079d7577f3038e2418a9c73640d.pdf,scanned,312,218,8.10359001159668,0.0001183999999999,1.0
2151_png.rf.2741083e6ea85884b49ef7f54c838a77,input/pdfs/2151_png.rf.2741083e6ea85884b49ef7f54c838a77.pdf,scanned,312,219,7.058639049530029,0.0001188,0.7615537643432617
18846_png.rf.39012558c9d735ca543a0b922a9fe7cf,input/pdfs/18846_png.rf.39012558c9d735ca543a0b922a9fe7cf.pdf,scanned,312,713,10.48949408531189,0.0003164,1.0
21501_png.rf.cdf319567fbacc10750979bc8ad1df78,input/pdfs/21501_png.rf.cdf319567fbacc10750979bc8ad1df78.pdf,scanned,312,710,12.39205288887024,0.0003151999999999,0.7710021138191223
